城市,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
广州,2020-01-01,良,59,123,41,64,8,39,0.94,33
广州,2020-01-02,良,61,109,39,70,6,63,0.99,23
广州,2020-01-03,良,71,135,43,93,8,78,1.08,38
广州,2020-01-04,良,99,190,68,136,9,105,1.20,70
广州,2020-01-05,良,64,123,40,78,6,66,0.79,51
广州,2020-01-06,良,57,173,24,63,7,63,0.76,39
广州,2020-01-07,良,59,234,30,68,6,70,0.88,39
广州,2020-01-08,良,55,161,30,64,7,62,0.86,50
广州,2020-01-09,良,66,189,34,83,8,77,0.90,47
广州,2020-01-10,良,61,193,33,72,7,67,0.96,48
广州,2020-01-11,良,61,198,36,73,7,54,0.96,24
广州,2020-01-12,优,28,42,12,28,5,33,1.00,34
广州,2020-01-13,优,50,98,28,55,6,53,1.05,28
广州,2020-01-14,良,63,124,38,76,8,65,1.12,32
广州,2020-01-15,良,55,106,32,61,6,47,0.88,51
广州,2020-01-16,良,53,149,31,59,6,47,0.95,40
广州,2020-01-17,优,23,32,11,23,5,30,1.24,23
广州,2020-01-18,优,35,50,23,35,5,31,1.17,34
广州,2020-01-19,优,38,55,25,39,5,28,1.12,21
广州,2020-01-20,优,36,50,24,36,5,34,1.01,32
广州,2020-01-21,良,52,94,35,54,5,44,1.05,53
广州,2020-01-22,优,40,69,25,40,4,34,0.83,62
广州,2020-01-23,优,42,104,25,39,5,35,0.80,57
广州,2020-01-24,优,32,60,19,31,5,24,0.65,54
广州,2020-01-25,优,42,121,29,38,6,18,0.98,24
广州,2020-01-26,优,11,14,7,9,4,14,1.02,25
广州,2020-01-27,优,15,16,9,12,4,10,0.77,44
广州,2020-01-28,优,20,28,12,15,4,9,0.63,57
广州,2020-01-29,优,32,55,22,27,4,10,0.70,68
广州,2020-01-30,优,41,97,28,33,5,12,0.62,80
广州,2020-01-31,优,43,63,29,35,5,20,0.59,77
